"","Elevation","PCC","MacSlope","LitDep","DepO","DepA","pH","PctOM","P","K","Ca","Mg","B","Mn","Cu","Fe","Al","Na","S","ECEC","Pb","Ni","Cd","Cr"
"12",265.2,77.64,38,2.57142857142857,1.5,3.64285714285714,5.65,20.163,3.5,87,401,1415,0.1,18,0.1,27.2,19,11,8,14.02,1.25,7.2,0.1,0.75
"13",265,61.78,22,2.18181818181818,2.95454545454545,1.31818181818182,5.31,47.281,4.55,102,493,850,0.05,35.7,0.05,8,10,17,10,9.81,2.6,3.7,0.1,0.05
"14",463,89.08,39,1.5,2.25,5.4,5.62,17.342,3,86,1125,813,0.2,71.7,0.1,6.7,27,17,14,12.62,0.1,7.05,0.2,0.1
"15",420,71.14,54,3.79166666666667,1.1,2.81818181818182,5.6,31.265,5.55,82,543,1240,0.15,11,0.05,4.1,4,11,7,13.26,0.8,2.8,0.1,0
"16",428,75.04,52,2.44,2.66,3.3,6.53,20.527,2.75,92,514,2030,0.35,13.5,0.05,4.6,3,7,5,19.72,0.65,11.1,0.1,0
"17",453,76.86,60,2.8125,3.66666666666667,3.33333333333333,6.29,39.819,7.25,75,935,2034,0.55,13.3,0.05,2.1,2,16,9,21.82,0.7,9,0.1,0
"18",450.799185574426,84.66,49,2.11,2.22,3.75,5.79,29.809,2.2,92,497,1544,0.2,28.2,0.1,13.1,5,29,7,15.59,1.55,10.35,0.1,0.05
"19",398,88.56,33,3.22222222222222,1.27777777777778,3.16666666666667,5.4,10.881,3.5,76,955,807,0.2,18.8,0.05,9.8,30,14,15,11.69,0.85,9.6,0.25,0.05
"20",466,93.76,60,1.54545454545455,2.59090909090909,1.41666666666667,6.82,12.337,1.7,65,333,1584,0.45,3.2,0.05,3.2,8,11,8,15.03,0.25,7.45,0.05,0.1
"21",429,90.64,37,3.25,2,2.9,5.35,18.252,1.4,78,1399,213,0.15,37.2,0.15,10.8,108,8,12,8.97,0.45,0.35,0.25,0.1
"22",301.4,82.58,37,0,3.66,4.33,6.73,13.884,4.2,67,290,1923,0.6,10,0.05,3.8,4,11,7,17.65,0.35,13.3,0.1,0.05
"23",282.8,85.7,38,0.818181818181818,1.25,1.25,6.71,22.802,3.65,82,444,1854,0.4,12.8,0.05,4.1,2,9,7,17.88,0.8,6.05,0.1,0.05
"24",279.1,85.44,44,2.16666666666667,1.97222222222222,1.97222222222222,6.52,26.442,4.9,108,461,1353,0.3,17.6,0.1,5.2,3,18,8,13.86,1.8,5.55,0.15,0.05
"25",287.4,58.66,49,1.857,2.25,2.25,5.49,38.727,7.85,117,370,953,0.1,18.4,0.1,4.2,2,16,8,10.09,1.45,4.05,0.1,0.05
"26",423.666666666667,83.88,11,2.9375,2.6875,3.21428571428571,6.31,28.899,5.65,91,361,1868,0.25,21,0.05,2.3,4,12,9,17.61,0.5,10.5,0.15,0.1
"27",364.845588,58.4,45,1.91666666666667,1.6667,2.33333333333333,6.4,28.899,4.7,86,394,1501,0.35,11.2,0.05,2.5,2,8,7,14.7,0.9,3,0.1,0.1
"28",309.98,85.18,14,1.78571428571429,3.3,3.25,5.94,14.157,2.15,33,247,1234,0.1,8.8,0.05,2.8,7,8,5,11.6,0.75,6.85,0.1,0.05
"29",301,65.42,20,1.36111111111111,1,3.95,6.42,24.349,2.2,50,432,2041,0.25,7.2,0.05,6.3,14,15,12,19.3,0.7,7.75,0.1,0.15
"30",392.582387437364,66.2,6,1.75,2.375,10.875,7.04,7.15,1.75,52,358,1213,0.25,7.6,0.55,2.2,31,8,4,12.03,0.05,0.95,0.05,0.05
"31",391.667987466624,83.62,20,2.1,3.8,4.4,6.69,8.515,3.55,61,1183,923,0.25,18.4,0.05,2.6,6,8,7,13.76,0.05,5.95,0.25,0.1
"32",407,42.58,10,1.92857142857143,1.35714285714286,1.21428571428571,7.31,18.434,6.15,88,398,2305,2.05,5.1,0.05,2.4,5,12,6,21.42,0.1,3.05,0.05,0.05
